,stockName,2021-09-30,2021-10-08,isRed
2952,华纺股份,5758720.0,16864145.0,False
2953,宁夏建材,2770284.0,2955101.0,True
2954,涪陵电力,16400517.0,9979118.0,True
2955,博通股份,305663.0,1071300.0,False
2956,宝钛股份,4272373.0,3891182.0,True
2957,时代新材,15958942.0,12341057.0,True
2958,贵研铂业,9720648.0,5348907.0,True
2959,士兰微,28170339.0,35139587.0,True
2960,洪城环境,11220495.0,27391180.0,True
2961,ST九有,1785880.0,2570620.0,True
2962,空港股份,1324300.0,992217.0,False
2963,蓝光发展,53465749.0,66763686.0,False
2964,好当家,11214182.0,40918558.0,False
2965,百利电气,13112665.0,11872040.0,False
2966,风神股份,2062400.0,3609551.0,False
2967,六国化工,66084997.0,50089096.0,True
2968,包头铝业,5283750.0,7089377.0,True
2969,华光环能,9591767.0,5732850.0,True
2970,湘邮科技,1400595.0,1667600.0,False
2971,杭萧钢构,9360731.0,8585953.0,False
2972,科力远,21768843.0,20158049.0,True
2973,千金药业,2555322.0,5426500.0,False
2974,凌云股份,4073420.0,3258926.0,False
2975,双良节能,24387738.0,28299896.0,True
2976,中国动力,4949350.0,6431925.0,True
2977,福能股份,45743628.0,34213753.0,True
2978,*ST信威,53006925.0,55265436.0,False
2979,扬农化工,1493868.0,1192195.0,True
2980,亨通光电,40244985.0,34625581.0,True
2981,天药股份,2030421.0,1762300.0,False
2982,中金黄金,30732597.0,30362079.0,False
2983,鹏欣资源,309073740.0,159710907.0,False
2984,龙元建设,27075883.0,31261876.0,True
2985,凤竹纺织,4000100.0,6431905.0,False
2986,晋西车轴,4964261.0,4826676.0,False
2987,精工钢构,18422702.0,14701962.0,True
2988,驰宏锌锗,68591093.0,50135944.0,True
2989,烽火通信,3939477.0,4506210.0,False
2990,科达制造,44486558.0,37619528.0,True
2991,中化国际,36687749.0,40530727.0,True
2992,航天晨光,3311406.0,2515213.0,False
2993,安徽建工,14441205.0,17470966.0,True
2994,华丽家族,10959689.0,9574027.0,False
2995,西昌电力,48431995.0,38370681.0,True
2996,*ST香梨,739401.0,2029000.0,False
2997,方大特钢,31257813.0,36725584.0,True
2998,上海能源,16997356.0,16294972.0,True
2999,天富能源,37010737.0,32425821.0,True
3000,黑牡丹,7730871.0,4915800.0,True
3001,国药股份,2765613.0,3589862.0,False
3002,腾达建设,23379490.0,19104112.0,False
3003,联环药业,1026556.0,1624716.0,False
3004,*ST基础,30111889.0,16849720.0,True
3005,方大炭素,73060708.0,74019645.0,True
3006,国网英大,105248657.0,88058332.0,True
3007,*ST康美,52726857.0,42910305.0,False
3008,贵州茅台,4053929.0,4409064.0,False
3009,文一科技,2647786.0,2832800.0,False
3010,华海药业,6951734.0,26665758.0,False
